id,name,city,address_1,address_2,lat,lon
19675962,"University of Southern California","Los Angeles","701 Exposition Blvd","Hoffman Hall",34.01837,-118.284454
19715272,"Grindr.com Headquarters","Los Angeles","Hollywood",,34.108078,-118.346703
19761142,"Cross Campus","Santa Monica","929 Colorado",,34.017887,-118.487045
19857822,"Factual, Inc.","Los Angeles","1999 Avenue of the Stars, 34th Floor",,34.058804,-118.41697
1992311,"Queen Mary","Long Beach","1126 Queens Highway",,33.752552,-118.190254
19984252,"Daily Pint","Santa Monica","2310 Pico Blvd",,34.021122,-118.466156
1999251,"Droplabs","Los Angeles","651 Clover St.",,34.065361,-118.222099
20004762,"Idealab","Pasadena","130 W Union St",,34.146725,-118.153145
20005112,"Hulu","Santa Monica","2500 Broadway St. Suite 200",,34.030518,-118.473633
20061982,"Broadcom ""Crystal Cove"" Auditorium  ","Irvine, CA 92617","5300 California Ave",,0,0
20082472,"ROC Santa Monica","Santa Monica, 90401","604 Arizona Ave (and 6th)",,34.019283,-118.494286
20278742,"Cross Campus - New Address!","Santa Monica","1558 10th Street",,34.018394,-118.486938
20376292,"DIRECTV","El Segundo","2230 E Imperial Hwy",,33.930859,-118.385117
20492862,"Qualcomm - Building N","San Diego","5775 Moorehouse Drive",,32.897179,-117.195763
20515882,"BJ'S Restaurant & Brewery","City Of Industry","17615 Castleton St",,33.995026,-117.921135
20603492,"Factual Inc","Los Angeles","1999 Avenue of the Stars, 34th Floor",,34.058804,-118.416969
20634172,"DIRECTV","El Segundo","2260 E. Imperial Hwy",,33.930813,-118.384323
20723332,"Grindr HQ","Los Angeles"," 6725 W Sunset Blvd #110",,34.098557,-118.33728
20779472,"The Hub LA","Los Angeles","830 Traction Avenue, Suite 3A",,34.044468,-118.235176
2083591,"Pepperdine University: Westside Conference Center","Los Angeles","6100 Center Drive",,33.977261,-118.392418
20889872,"Belkin","Playa Vista","12045 East Waterfront Drive",,33.982521,-118.404694
20929282,"Cross Campus","Santa Monica","929 Colorado ",,34.017887,-118.487045
21300372,"929 Colorado","07/24/2014","Santa Monica",,37.151924,-119.646042
21373502,"Disney Synergy Lab","Glendale","512 PAULA AVE",,34.158852,-118.289841
21386312,"Los Angeles Fairplex","Pomona","1101 W. McKinley Ave.",,34.088589,-117.770134
21569732,"Acrobotic HQ","Pasadena","3750 E Foothill Blvd 3nd Floor Suite A",,0,0
21616902,"ZEFR","Venice"," 1621 Abbot Kinney Blvd.",,33.98988,-118.463257
21682662,"Netflix","Beverly Hills","335 North Maple Drive, Suite 353",,34.073795,-118.393593
21698602,"Bosscat Kitchen & Libations  ","Newport Beach","4647 MacArthur Blvd",,33.670071,-117.864456
21727082,"JW Marriott Santa Monica Le Merigot","Santa Monica","1740 Ocean Ave",,34.008804,-118.492226
21765692,"Chapman University - Irvine Lecture Hall","Orange","Cross-streets: East Palm and North Center ",,33.791466,-117.849831
21816582,"BLANKSPACES","Santa Monica","1450 2nd Street",,34.013931,-118.495987
21864322,"ThinkNear","Culver City","10549 Jefferson Blvd.",,34.006248,-118.392555
21923142,"Imperial Art Studios","Los Angeles","680 Imperial Street",,34.035469,-118.230965
22087122,"Whisper HQ","Venice","69 Windward Ave",,33.987495,-118.472717
22319822,"Team One Advertising","Los Angeles","13031 W Jefferson Blvd, Space 800",,33.975731,-118.426384
22449552,"Factual","Los Angeles","1999 Avenue of the Stars, 35th Floor",,34.058804,-118.416969
22468122,"DIRECTV","El Segundo","Kilroy Airport Center building , 2230 East Imperial Hwy (AKA ""LA5”)",,0,0
22681772,"Santa Monica Public Library","Los Angeles","2601 Main St, Santa Monica",,34.002434,-118.483994
22748102,"USC","Los Angeles","USC main campus, Los Angeles",,34.05349,-118.245323
227793,"Hyatt Regency Huntington Beach Resort & Spa","Huntington Beach","21500 Pacific Coast Hwy",,33.650105,-117.990524
22802782,"Korn Convocation Hall, UCLA Anderson School of Management","Los Angeles","110 Westwood Plaza",,34.073109,-118.444733
22854072,"Velocify - Great Room","El Segundo","100 N Sepulveda Blvd",,33.917397,-118.394897
22972852,"Claremont Graduate University","Claremont","130 E. 8th Street","Academic Computing Bldg.",34.10157,-117.71433
22984902,"Live Nation","Los Angeles","7060 Hollywood Blvd",,34.101528,-118.343727
23001722,"Caltech Cahill, Hameetman Auditorium","Pasadena","1200 E California Blvd Bldg 17",,34.13892,-118.123779
23116282,"Pasadena City Hall","Pasadena","100 N Garfield Ave Room S018",,34.147644,-118.143532
23123522,"LAX Coworking","Los Angeles","9100 S. Sepulveda Blvd","Suite 208",33.954227,-118.39565
23310262,"Los Angeles Memorial Coliseum","Los Angeles","3939 S Figueroa St",,34.011543,-118.282745
23442562,"Big Data for Social Good Challenge","Global","Web only",,33.86,-84.4
23472857,"USC Room VKC 150 ","Los Angeles","Sheila Tejada ",,34.05349,-118.245323
23474506,"BlankSpaces","Los Angeles","529 S Broadway, Ste 400",,34.047588,-118.251656
23478853,"LiveNation/Ticketmaster","Los Angeles","7060 Hollywood Blvd",,34.101151,-118.343719
23486624,"Retention Science","Santa Monica","2601 Ocean Park Blvd #104",,34.01801,-118.45797
23489110,"Pasadena City College","Pasadena","1570 E Colorado Blvd",,34.145798,-118.121162
23499950,"General Assembly DTLA","Los Angeles, 90007","1933 S. Broadway, 11th Floor",,34.030807,-118.266853
23510837,"Internap Data Center - LAX014","Redondo Beach","3690 Redondo Beach Ave",,33.889099,-118.370102
23514655,"Crescent Solutions","Los Angeles","6420 Wilshire Blvd Suite 200",,34.063427,-118.36924
23520066,"Internap Data Center - LAX014","Redondo Beach","3690 Redondo Beach Ave",,33.889099,-118.370102
